Q14
A - star wars
500,0   0,7000  0,7000  11,7000  0,7000  0,7000
750,0   0,7000  11,7000  0,7000  11,7000  0,7000
1000,0   11,7000  0,7000  0,7000  0,7000  11,7000
3500,0   0,7000  0,7000  11,7000  0,7000  0,7000
3750,0   0,7000  11,7000  0,7000  11,7000  0,7000
3750,1  2,1800  0,1500  0,1500  0,1700  2,1800
4000,0   11,7000  0,7000  0,7000  0,7000  11,7000
4000,1  0,1500  2,1700  0,1500  2,1700  0,1500 
4250,1  0,1500  0,1500  2,1500  0,1500  0,1500 
6500,1   2,7000  2,7000  2,7000  2,7000  2,7000
7500,1   2,7000  2,7000  2,7000  2,7000  2,7000
9000,0  7,6000  7,6000  7,6000  7,6000  7,6000
11000,0   11,7000  11,7000  11,7000  11,7000  11,7000
15000,0   11,7000  11,7000  11,7000  11,7000  11,7000
19000,1   11,7000  11,7000  11,7000  11,7000  11,7000
24500,1 0,0     0,0     0,0     0,0     0,0
0,0     0,0     0,0     0,0     0,0     0,0
A - bomb
500,0   2,2600  0,7000  0,7000  0,7000  0,7000
500,1   0,3000  0,7000  0,7000  0,7000  2,2600
1000,0  0,7000  2,2350  0,7000  0,6500  0,7000
1000,1  0,7000  0,2500  0,7000  2,2350  0,7000
1500,0  0,6500  0,7000  2,1850  0,7000  0,6500
1500,1  0,6500  0,7000  2,1850  0,7000  0,6500
2000,0  0,7000  0,7000  0,7000  2,1350  0,7000
2000,1  0,7000  2,1350  0,7000  0,1500  0,7000
2500,0  0,7000  0,7000  0,7000  0,7000  0,2750
2500,1  0,2750  0,7000  0,7000  0,7000  0,3000
4000,0  2,2600  0,7000  0,7000  0,7000  0,7000
4000,1  0,3000  0,7000  0,7000  0,7000  2,2600
4500,0  0,7000  2,2350  0,7000  0,6500  0,7000
4500,1  0,7000  0,2500  0,7000  2,2350  0,7000
5000,0  0,6500  0,7000  2,1850  0,7000  0,6500
5000,1  0,6500  0,7000  2,1850  0,7000  0,6500
5500,0  0,7000  0,7000  0,7000  2,1350  0,7000
5500,1  0,7000  2,1350  0,7000  0,1500  0,7000
6000,0  0,7000  0,7000  0,7000  0,7000  0,2750
6000,1  0,2750  0,7000  0,7000  0,7000  0,3000
7500,0  2,2600  0,7000  0,7000  0,7000  0,7000
7500,1  0,3000  0,7000  0,7000  0,7000  2,2600
8000,0  0,7000  3,7000  0,7000  0,6500  0,7000
8000,1  0,7000  0,2500  0,7000  2,2350  0,7000
8500,0  0,6500  0,7000  2,1850  0,7000  0,6500
8500,1  0,6500  0,7000  2,1850  0,7000  0,6500
9000,0  0,7000  0,7000  0,7000  2,1350  0,7000
9000,1  0,7000  2,1350  0,7000  0,1500  0,7000
10500,0 0,7000  0,7000  0,7000  0,7000  0,2750
10500,0 0,2750  0,7000  0,7000  0,7000  0,3000
12000,0 0,1000  0,1000  0,6000  0,1000  0,1000
13000,1 6,7000  6,7000  6,7000  6,7000  6,7000
27000,0 0,7000  0,7000  0,7000  0,7000  0,7000
0,0 0,0 0,0     0,0     0,0     0,0
A - break it up
1000,0  0,7000  0,7000  6,7000  0,7000  0,7000
1000,1  0,7000  0,7000  0,7000  0,7000  0,7000
1000,0  0,7000  0,7000  0,7000  0,7000  0,7000
1000,1  0,7000  0,7000  6,7000  0,7000  0,7000
3500,0  0,7000  0,7000  0,7000  0,7000  0,7000
3500,1  4,7000  0,7000  0,7000  0,7000  4,7000
4500,0  4,7000  0,7000  0,7000  0,7000  4,7000
4500,1  0,7000  0,7000  0,7000  0,7000  0,7000
5500,0  4,7000  0,7000  4,7000  0,7000  4,7000
5500,1  0,7000  4,7000  0,7000  4,7000  0,7000
6500,0  0,7000  4,7000  0,7000  4,7000  0,7000
6500,1  4,7000  0,7000  4,7000  0,7000  4,7000
7500,0  0,7000  7,7000  0,7000  7,7000  0,7000
7500,1  0,7000  0,7000  7,7000  0,7000  0,7000
8500,0  11,7000 0,7000  0,7000  0,7000  0,7000
8500,1  0,7000  0,7000  0,7000  0,7000  11,7000
9500,0  11,7000 0,7000  0,7000  0,7000  0,7000
9500,1  0,7000  0,7000  0,7000  0,7000  11,7000
10500,0 11,7000 0,7000  0,7000  0,7000  0,7000
10500,1 0,7000  0,7000  0,7000  0,7000  11,7000
11500,0 11,7000 0,7000  0,7000  0,7000  0,7000
11500,1 0,7000  0,7000  0,7000  0,7000  11,7000
12500,0 11,7000 0,7000  0,7000  0,7000  0,7000
12500,1 0,7000  0,7000  0,7000  0,7000  11,7000
21000,0 0,7000  0,7000  0,7000  0,7000  0,7000
0,0 0,0 0,0     0,0     0,0     0,0
A - chase
0501,0  0,7000  0,7000  1,3000  0,7000  0,7000
0501,1  0,7000  0,7000  0,7000  0,7000  0,7000
1000,0  0,7000  0,7000  12,7000 0,7000  0,7000
1000,1  0,7000  0,7000  0,7000  0,7000  0,7000
3000,0  0,7000  0,7000  0,7000  0,7000  0,7000
3000,1  0,7000  0,7000  1,7000  0,7000  0,7000
3500,0  0,7000  0,7000  0,7000  0,7000  0,7000
3500,1  0,7000  0,7000  12,3000 0,7000  0,7000
6000,0  0,7000  0,7000  12,2000 0,7000  0,7000
6000,1  0,7000  0,7000  0,7000  0,7000  0,7000
6500,0  0,7000  0,7000  2,3000  0,7000  0,7000
6500,1  0,7000  0,7000  0,7000  0,7000  0,7000
6750,0  0,7000  2,3000  0,7000  2,3000  0,7000
6750,1  0,7000  0,7000  0,7000  0,7000  0,7000
7000,0  2,3000  0,7000  0,7000  0,7000  2,3000
7000,1  0,7000  0,7000  0,7000  0,7000  0,7000
8500,0  0,7000  0,7000  0,7000  0,7000  0,7000
8500,1  7,7000  0,7000  7,7000  0,7000  7,7000
9000,0  0,7000  0,7000  0,7000  0,7000  0,7000
9000,1  0,7000  7,7000  0,7000  7,7000  0,7000
20000,0 0,7000  0,7000  0,7000  0,7000  0,7000
0,0 0,0 0,0     0,0     0,0     0,0
A - disast
500,0   7,7000  7,6000  7,7000  7,6000  7,7000
500,1   7,6000  7,7000  7,6000  7,7000  7,6000
7000,0  12,7000 0,7000  12,7000 0,7000  12,7000
7000,1  0,7000  12,7000 0,7000  12,7000 0,7000
10100,1  12,7000 0,7000  0,7000 0,7000  12,7000
10150,1  0,7000 0,7000  12,7000 0,7000  0,7000
10200,0  0,7000  0,7000 0,7000  12,7000 0,7000
10250,0  0,7000  12,7000 0,7000  0,7000 0,7000
12500,0 0,0     0,0     7,5000  0,0     0,0
15000,1 0,0     0,0     12,6000 0,0     0,0
16500,0 0,0     0,0     12,6000 0,0     0,0
16525,0 0,0     0,0     12,6000 0,0     0,0
16600,0 0,0     0,0     12,6000 0,0     0,0
16750,0 0,0     0,0     12,6000 0,0     0,0
17000,0 0,0     0,0     12,6000 0,0     0,0
17500,0 0,0     0,0     12,6000 0,0     0,0
17700,0 0,0     0,0     12,6000 0,0     0,0
17750,0 0,0     0,0     12,6000 0,0     0,0
21500,0 0,0     0,0     0,0     0,0     0,0
0,0 0,0 0,0     0,0     0,0     0,0
A - disasteroid
500,0   0,7000  0,7000  7,6500  0,7000  0,7000
2500,0  0,7000  7,6500  0,7000  7,6500  0,7000
4500,0  7,6500  0,7000  0,7000  0,7000  7,6500
4800,1  11,7000 11,7000 11,7000 11,7000 11,7000
7200,1  2,7000  2,7000  2,7000  2,7000  2,7000
11500,1 6,2600  6,2600  6,2600  6,2600  6,2600
19500,1 12,7000 12,7000 12,7000 12,7000 12,7000
33000,0 0,7000  0,7000  0,7000  0,7000  0,7000
0,0 0,0 0,0     0,0     0,0     0,0
A - ha, zap,boom
0500,0  12,7000 0,7000  2,7000  0,7000  0,7000
0500,1  0,7000  0,7000  2,7000  0,7000  12,7000
2500,0  4,7000  0,7000  07000   0,7000  0,7000
2500,1  0,7000  0,7000  0,7000  0,7000  4,7000
3900,0  12,7000 0,7000  07000   0,7000  0,7000
3900,1  0,7000  0,7000  0,7000  0,7000  12,7000
4500,0  4,7000  0,7000  07000   0,7000  0,7000
4500,1  0,7000  0,7000  0,7000  0,7000  4,7000
5600,0  4,7000  0,7000  07000   0,7000  0,7000
5600,1  0,7000  0,7000  0,7000  0,7000  4,7000
